HORA_INT,DIA_SEMANA_INT,DIA_MES_INT,MES,ACTIVIDAD,SCA_AREA,DENSIDAD_NOCTURNA,DENSIDAD_BANCARIA,DENSIDAD_TIENDAS,DENSIDAD_PARQUES,ILUMINACION,PERSONAS,SEGURIDAD,SENDERO,TRANSPORTE,GENERO,DELITOS
MAÑANA,ENTRE SEMANA,NO QUINCENA,12,PROPIEDAD PRIVADA,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916,MASCULINO,HURTO A PERSONAS
NOCHE,ENTRE SEMANA,NO QUINCENA,2,PROPIEDAD PRIVADA,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794,MASCULINO,HURTO A PERSONAS
NOCHE,ENTRE SEMANA,NO QUINCENA,2,PROPIEDAD PRIVADA,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794,MASCULINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,NO QUINCENA,7,PROPIEDAD PRIVADA,4.686612511621804e-05,0,0,16,1,145.78209723245982,41.55719165187607,4.912511473224966,151.22569102711452,98.78131178592906,MASCULINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,11,PROPIEDAD PRIVADA,1.7488736680023233e-05,1,1,20,1,41.93143825871674,11.839464920108256,1.2497212971225382,41.93143825871674,29.828874118161632,MASCULINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,11,PROPIEDAD PRIVADA,1.7488736680023233e-05,1,1,20,1,41.93143825871674,11.839464920108256,1.2497212971225382,41.93143825871674,29.828874118161632,MASCULINO,HURTO A PATRIMONIO
MAÑANA,FIN DE SEMANA,NO QUINCENA,2,PROPIEDAD PRIVADA,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664,MASCULINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,NO QUINCENA,10,PROPIEDAD PRIVADA,8.46160365301638e-06,1,1,20,0,27.832510908017625,12.800666630357542,0.4719798869293842,27.18890197129574,18.67896158575078,FEMENINO,HURTO A PERSONAS
NOCHE,ENTRE SEMANA,NO QUINCENA,10,PROPIEDAD PRIVADA,8.46160365301638e-06,1,1,20,0,27.832510908017625,12.800666630357542,0.4719798869293842,27.18890197129574,18.67896158575078,FEMENINO,HURTO A PATRIMONIO
MAÑANA,FIN DE SEMANA,QUINCENA,5,PROPIEDAD PRIVADA,2.011973901097629e-05,11,7,20,0,41.939984244140085,12.745234732874906,2.4485918944932084,42.56782831965116,27.876276952691917,FEMENINO,HURTO A PERSONAS
MAÑANA,FIN DE SEMANA,QUINCENA,5,PROPIEDAD PRIVADA,2.011973901097629e-05,11,7,20,0,41.939984244140085,12.745234732874906,2.4485918944932084,42.56782831965116,27.876276952691917,FEMENINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,NO QUINCENA,4,PROPIEDAD PRIVADA,6.655418683192538e-05,2,5,20,7,207.02391998269812,59.01501544133381,6.976215882841377,214.75432136638725,140.27850315767526,MASCULINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,4,PROPIEDAD PRIVADA,6.655418683192538e-05,2,5,20,7,207.02391998269812,59.01501544133381,6.976215882841377,214.75432136638725,140.27850315767526,MASCULINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,NO QUINCENA,4,PROPIEDAD PRIVADA,6.655418683192538e-05,2,5,20,7,207.02391998269812,59.01501544133381,6.976215882841377,214.75432136638725,140.27850315767526,MASCULINO,HURTO A PERSONAS
